id	level	name	description	desc_add1	desc_add2
3	1	Power Strike	Наносит мощный удар. Используется только с мечами и тупым оружием. Возможен критический удар. Сила: 25.	none	none
3	2	Power Strike	Наносит мощный удар. Используется только с мечами и тупым оружием. Возможен критический удар. Сила: 27.	none	none
3	3	Power Strike	Наносит мощный удар. Используется только с мечами и тупым оружием. Возможен критический удар. Сила: 30.	none	none
3	4	Power Strike	Наносит мощный удар. Используется только с мечами и тупым оружием. Возможен критический удар. Сила: 39.	none	none
3	5	Power Strike	Наносит мощный удар. Используется только с мечами и тупым оружием. Возможен критический удар. Сила: 42.	none	none
3	6	Power Strike	Наносит мощный удар. Используется только с мечами и тупым оружием. Возможен критический удар. Сила: 46.	none	none
3	7	Power Strike	Наносит мощный удар. Используется только с мечами и тупым оружием. Возможен критический удар. Сила: 60.	none	none
3	8	Power Strike	Наносит мощный удар. Используется только с мечами и тупым оружием. Возможен критический удар. Сила: 65.	none	none
3	9	Power Strike	Наносит мощный удар. Используется только с мечами и тупым оружием. Возможен критический удар. Сила: 70.	none	none
4	1	Dash	Быстрый бег на короткое время. Эффект 1.	none	none
4	2	Dash	Быстрый бег на короткое время. Эффект 2.	none	none
16	1	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 73.	none	none
16	2	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 80.	none	none
16	3	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 88.	none	none
16	4	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 115.	none	none
16	5	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 126.	none	none
16	6	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 137.	none	none
16	7	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 178.	none	none
16	8	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 193.	none	none
16	9	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 210.	none	none
16	10	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 268.	none	none
16	11	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 291.	none	none
16	12	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 314.	none	none
16	13	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 367.	none	none
16	14	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 396.	none	none
16	15	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 427.	none	none
16	16	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 494.	none	none
16	17	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 531.	none	none
16	18	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 571.	none	none
16	19	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 656.	none	none
16	20	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 703.	none	none
16	21	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 752.	none	none
16	22	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 859.	none	none
16	23	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 916.	none	none
16	24	Mortal Blow	Наносит мощный удар врагу. Используется только с кинжалами. Сила: 977.	none	none
21	1	Poison Recovery	Лечение от яда. Сила меньше чем 3.	none	none
21	2	Poison Recovery	Лечение от яда. Сила меньше чем 7.	none	none
21	3	Poison Recovery	Лечение от яда. Сила меньше чем 9.	none	none
28	1	Aggression	Провоцирует противника напасть на вас. Сила: 655.	none	none
